municipios; homicidio_doloso; furtos;abigeato;roubos;estelionato
CARUARU;0.0;2.0;2.0;0.0;
AGUA SANTA;1.0;2.0;0.0;0.0;0.0
AGUDO;0.0;7.0;0.0;0.0;3.0
AJURICABA;0.0;1.0;0.0;0.0;0.0
ALECRIM;0.0;0.0;0.0;0.0;2.0
ALEGRETE;3.0;42.0;2.0;4.0;31.0
ALEGRIA;0.0;2.0;0.0;0.0;0.0
ALMIRANTE TAMANDARE DO SUL;0.0;0.0;0.0;0.0;0.0
ALPESTRE;0.0;1.0;0.0;0.0;0.0
ALTO ALEGRE;0.0;0.0;0.0;0.0;0.0
ALTO FELIZ;0.0;2.0;0.0;0.0;1.0
ALVORADA;6.0;93.0;2.0;196.0;122.0
AMARAL FERRADOR;0.0;3.0;0.0;0.0;1.0
AMETISTA DO SUL;0.0;3.0;2.0;0.0;3.0
ANDRE DA ROCHA;0.0;1.0;0.0;0.0;0.0
ANTA GORDA;0.0;2.0;0.0;0.0;6.0
ANTONIO PRADO;1.0;3.0;1.0;0.0;4.0
ARAMBARE;0.0;16.0;0.0;0.0;0.0
ARARICA;0.0;3.0;0.0;0.0;3.0
ARATIBA;0.0;0.0;0.0;1.0;0.0
ARROIO DO MEIO;0.0;21.0;0.0;1.0;10.0
ARROIO DO PADRE;0.0;0.0;0.0;0.0;0.0
ARROIO DO SAL;0.0;36.0;0.0;1.0;18.0
ARROIO DO TIGRE;0.0;5.0;2.0;0.0;2.0
ARROIO DOS RATOS;0.0;2.0;0.0;2.0;1.0
ARROIO GRANDE;0.0;10.0;4.0;3.0;5.0
ARVOREZINHA;0.0;6.0;0.0;0.0;2.0
AUGUSTO PESTANA;0.0;2.0;1.0;1.0;2.0
AUREA;0.0;2.0;0.0;0.0;2.0
BAGE;2.0;59.0;7.0;17.0;69.0
BALNEARIO PINHAL;0.0;13.0;0.0;9.0;13.0
BARAO;0.0;0.0;0.0;0.0;3.0
BARAO DE COTEGIPE;0.0;1.0;0.0;0.0;5.0
BARAO DO TRIUNFO;0.0;0.0;0.0;0.0;0.0
BARRA DO GUARITA;0.0;0.0;0.0;0.0;0.0
BARRA DO QUARAI;0.0;5.0;2.0;0.0;0.0
BARRA DO RIBEIRO;0.0;6.0;0.0;1.0;4.0
BARRA DO RIO AZUL;0.0;0.0;0.0;0.0;0.0
BARRA FUNDA;0.0;1.0;0.0;0.0;0.0
BARRACAO;0.0;4.0;1.0;0.0;3.0
BARROS CASSAL;0.0;6.0;2.0;0.0;0.0
BENJAMIN CONSTANT DO SUL;0.0;1.0;1.0;0.0;0.0
BENTO GONCALVES;3.0;40.0;0.0;11.0;82.0
BOA VISTA DAS MISSOES;0.0;1.0;0.0;0.0;0.0
BOA VISTA DO BURICA;0.0;0.0;0.0;1.0;1.0
BOA VISTA DO CADEADO;0.0;1.0;0.0;0.0;2.0
BOA VISTA DO INCRA;0.0;2.0;1.0;0.0;1.0
BOA VISTA DO SUL;0.0;3.0;0.0;0.0;0.0
BOM JESUS;0.0;9.0;2.0;1.0;6.0
BOM PRINCIPIO;0.0;5.0;0.0;0.0;9.0
BOM PROGRESSO;0.0;1.0;0.0;0.0;1.0
BOM RETIRO DO SUL;0.0;2.0;0.0;1.0;4.0
BOQUEIRAO DO LEAO;0.0;0.0;0.0;0.0;0.0
BOSSOROCA;0.0;6.0;3.0;0.0;0.0
BOZANO;0.0;0.0;0.0;0.0;0.0
BRAGA;0.0;2.0;1.0;0.0;0.0
BROCHIER;0.0;0.0;0.0;0.0;2.0
BUTIA;0.0;18.0;0.0;3.0;6.0
CACAPAVA DO SUL;0.0;27.0;5.0;7.0;21.0
CACEQUI;0.0;5.0;3.0;2.0;3.0
CACHOEIRA DO SUL;0.0;30.0;1.0;8.0;25.0
CACHOEIRINHA;1.0;60.0;0.0;62.0;86.0
CACIQUE DOBLE;0.0;3.0;0.0;0.0;1.0
CAIBATE;0.0;0.0;0.0;0.0;3.0
CAICARA;1.0;1.0;1.0;0.0;1.0
CAMAQUA;0.0;36.0;2.0;3.0;28.0
CAMARGO;0.0;0.0;0.0;0.0;0.0
CAMBARA DO SUL;0.0;7.0;2.0;0.0;3.0
CAMPESTRE DA SERRA;0.0;3.0;0.0;0.0;0.0
CAMPINA DAS MISSOES;0.0;2.0;1.0;0.0;2.0
CAMPINAS DO SUL;0.0;1.0;0.0;0.0;1.0
CAMPO BOM;0.0;42.0;0.0;10.0;34.0
CAMPO NOVO;0.0;3.0;1.0;1.0;2.0
CAMPOS BORGES;0.0;1.0;0.0;1.0;0.0
CANDELARIA;1.0;25.0;3.0;4.0;14.0
CANDIDO GODOI;0.0;0.0;0.0;0.0;2.0
CANDIOTA;0.0;11.0;5.0;0.0;2.0
CANELA;2.0;25.0;0.0;6.0;26.0
CANGUCU;0.0;15.0;2.0;0.0;13.0
CANOAS;1.0;240.0;0.0;212.0;218.0
CANUDOS DO VALE;0.0;0.0;0.0;0.0;0.0
CAPAO BONITO DO SUL;0.0;3.0;0.0;0.0;0.0
CAPAO DA CANOA;2.0;110.0;0.0;23.0;54.0
CAPAO DO CIPO;0.0;2.0;1.0;0.0;1.0
CAPAO DO LEAO;0.0;5.0;0.0;6.0;11.0
CAPELA DE SANTANA;0.0;4.0;2.0;0.0;4.0
CAPITAO;0.0;0.0;0.0;0.0;0.0
CAPIVARI DO SUL;0.0;3.0;1.0;1.0;1.0
CARAA;0.0;2.0;0.0;0.0;2.0
CARAZINHO;2.0;59.0;1.0;15.0;28.0
CARLOS BARBOSA;0.0;11.0;1.0;1.0;27.0
CARLOS GOMES;0.0;0.0;0.0;0.0;0.0
CASCA;0.0;5.0;0.0;0.0;7.0
CASEIROS;0.0;1.0;0.0;1.0;1.0
CATUIPE;0.0;6.0;1.0;0.0;2.0
CAXIAS DO SUL;7.0;257.0;0.0;93.0;400.0
CENTENARIO;0.0;2.0;2.0;0.0;2.0
CERRITO;0.0;5.0;2.0;0.0;1.0
CERRO BRANCO;0.0;1.0;0.0;0.0;0.0
CERRO GRANDE;0.0;5.0;1.0;0.0;0.0
CERRO GRANDE DO SUL;0.0;4.0;2.0;1.0;1.0
CERRO LARGO;0.0;3.0;0.0;1.0;5.0
